Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
1981,24,AGO,642.383858,642.383858,642.383858,7908088.7,7908088.7,7908088.7,14.4106189,14.4106189,14.4106189
1982,24,AGO,619.9613575,619.9613575,619.9613575,8177749.4,8177749.4,8177749.4,14.27312392,14.27312392,14.27312392
1983,24,AGO,623.4405848,623.4405848,623.4405848,8447410.1,8447410.1,8447410.1,14.29469402,14.29469402,14.29469402
1984,24,AGO,637.7152307,637.7152307,637.7152307,8717070.8,8717070.8,8717070.8,14.38228309,14.38228309,14.38228309
1985,24,AGO,758.2375762,758.2375762,758.2375762,8986731.5,8986731.5,8986731.5,15.07002024,15.07002024,15.07002024
1986,24,AGO,685.2700853,685.2700853,685.2700853,9256392.2,9256392.2,9256392.2,14.66412694,14.66412694,14.66412694
1987,24,AGO,756.261853,756.261853,756.261853,9526052.9,9526052.9,9526052.9,15.05941426,15.05941426,15.05941426
1988,24,AGO,792.3031202,792.3031202,792.3031202,9795713.6,9795713.6,9795713.6,15.24979398,15.24979398,15.24979398
1989,24,AGO,890.5541365,890.5541365,890.5541365,10065374.3,10065374.3,10065374.3,15.73850077,15.73850077,15.73850077
1990,24,AGO,947.7041821,947.7041821,947.7041821,10335035,10335035,10335035,16.00487715,16.00487715,16.00487715
1991,24,AGO,865.6927296,865.6927296,865.6927296,10694168.6,10694168.6,10694168.6,15.61871443,15.61871443,15.61871443
1992,24,AGO,656.361756,656.361756,656.361756,11053302.2,11053302.2,11053302.2,14.49456719,14.49456719,14.49456719
1993,24,AGO,441.2006733,441.2006733,441.2006733,11412435.8,11412435.8,11412435.8,13.02135919,13.02135919,13.02135919
1994,24,AGO,328.6732947,328.6732947,328.6732947,11771569.4,11771569.4,11771569.4,12.02684437,12.02684437,12.02684437
